,0
0,-48.0861244
1,-71.09250399
2,-200.0
3,-77.67145136
4,18.30501618
5,9.607605178
6,-200.0
7,2.265372168
8,39.72491909
9,15.91828479
10,-48.0861244
11,-75.15948963
12,78.60032362
13,-200.0
14,-16.62679426
15,9.607605178
16,51.69902913
17,2.588996764
18,-200.0
19,-48.0861244
20,-200.0
21,-200.0
22,-200.0
23,-200.0
24,-90.27113238
25,-200.0
26,76.05177994
27,9.607605178
28,60.35598706
29,63.87540453
30,-48.0861244
31,-71.09250399
32,-48.0861244
33,-90.55023923
34,44.66019417
35,86.81229773
36,23.68527508
37,-200.0
38,-200.0
39,35.27508091
40,60.15372168
41,58.49514563
42,-200.0
43,91.01941748
44,-200.0
45,62.21682848
46,-200.0
47,-200.0
48,-93.46092504
49,-65.23125997
50,-94.81658692
51,-99.68102073
52,-200.0
53,21.15695793
54,37.68203883
55,9.607605178
56,-96.29186603
57,0.0
58,15.14967638
59,5.339805825
60,15.14967638
61,30.96682848
62,0.0
63,-96.73046252
64,-200.0
65,-200.0
66,-48.0861244
67,-16.62679426
68,-48.0861244
69,-77.67145136
70,88.75404531
71,-94.41786284
72,31.63430421
73,43.08252427
74,15.51375405
75,-93.70015949
76,21.60194175
77,-85.16746411
78,48.46278317
79,-74.16267943
80,-200.0
81,37.68203883
82,-80.62200957
83,9.607605178
84,58.45469256
85,58.21197411
86,-99.60127592
87,25.7079288
88,-84.29027113
89,59.83009709
90,-16.62679426
91,-48.0861244
92,-75.15948963
93,-76.79425837
94,3.357605178
95,-48.0861244
96,-48.0861244
97,-68.97926635
98,-48.0861244
99,-48.0861244
100,56.06796117
101,-200.0
102,31.47249191
103,0.242718447
104,70.38834951
105,-89.71291866
106,90.65533981
107,-98.80382775
108,-16.62679426
109,48.74595469
110,-72.64752791
111,45.91423948
112,-16.62679426
113,-92.26475279
114,72.61326861
115,-89.15470494
116,-94.49760766
117,-77.67145136
118,31.9579288
119,51.37540453
120,-78.62838915
121,4.368932039
122,-48.0861244
123,-200.0
124,-200.0
125,-67.10526316
126,-99.20255183
127,-91.22807018
128,9.607605178
129,-72.56778309
130,0.0
131,-62.9984051
132,14.17880259
133,-98.0861244
134,-90.82934609
135,2.973300971
136,56.39158576
137,-90.90909091
138,30.96682848
139,36.24595469
140,-99.36204147
141,32.16019417
142,60.27508091
143,-99.92025518
144,-87.9585327
145,-81.738437
146,92.27346278
147,31.7961165
148,9.607605178
149,1.537216828
150,-91.70653907
151,0.0
152,2.973300971
153,15.14967638
154,-95.53429027
155,-16.62679426
156,0.0
157,-200.0
158,-16.62679426
159,0.242718447
160,-200.0
161,-48.0861244
162,0.0
163,-16.62679426
164,-16.62679426
165,15.14967638
166,0.0
167,-48.0861244
168,-200.0
169,-200.0
170,-48.0861244
171,-48.0861244
172,-200.0
173,85.80097087
174,-16.62679426
175,-200.0
176,-200.0
177,79.28802589
178,-200.0
179,-79.98405104
180,-91.50717703
181,-82.85486443
182,-48.0861244
183,-16.62679426
184,-48.0861244
185,43.46682848
186,-83.09409888
187,65.61488673
188,50.97087379
189,-48.0861244
190,81.55339806
191,-77.67145136
192,-71.09250399
193,-16.62679426
194,-200.0
195,-16.62679426
196,-16.62679426
197,14.78559871
198,31.27022654
199,0.242718447
200,68.60841424
201,-200.0
202,-200.0
203,-76.03668262
204,-67.10526316
205,-78.62838915
206,-48.0861244
207,49.1302589
208,-94.89633174
209,-88.39712919
210,-16.62679426
211,4.368932039
212,23.68527508
213,-92.7830941
214,3.478964401
215,-93.22169059
216,-16.62679426
217,25.48543689
218,-79.98405104
219,20.99514563
220,-16.62679426
221,0.525889968
222,-84.37001595
223,-65.23125997
224,-68.97926635
225,26.75970874
226,-87.71929825
227,37.68203883
228,-91.38755981
229,52.14401294
230,35.21440129
231,-93.06220096
232,-71.09250399
233,-16.62679426
