,EQO,Vanish_percent
0,0,-48.0861244
1,1,-71.09250399
2,1,-200
3,1,-77.67145136
4,0,18.30501618
5,1,9.607605178
6,0,-200
7,0,2.265372168
8,0,39.72491909
9,0,15.91828479
10,0,-48.0861244
11,0,-75.15948963
12,1,78.60032362
13,0,-200
14,0,-16.62679426
15,0,9.607605178
16,1,51.69902913
17,0,2.588996764
18,0,-200
19,1,-48.0861244
20,0,-200
21,1,-200
22,0,-200
23,0,-200
24,0,-90.27113238
25,0,-200
26,1,76.05177994
27,0,9.607605178
28,0,60.35598706
29,0,63.87540453
30,1,-48.0861244
31,0,-71.09250399
32,0,-48.0861244
33,1,-90.55023923
34,1,44.66019417
35,0,86.81229773
36,1,23.68527508
37,0,-200
38,1,-200
39,0,35.27508091
40,1,60.15372168
41,0,58.49514563
42,0,-200
43,1,91.01941748
44,1,-200
45,1,62.21682848
46,0,-200
47,1,-200
48,0,-93.46092504
49,0,-65.23125997
50,1,-94.81658692
51,1,-99.68102073
52,0,-200
53,1,21.15695793
54,1,37.68203883
55,0,9.607605178
56,0,-96.29186603
57,1,0
58,0,15.14967638
59,0,5.339805825
60,0,15.14967638
61,0,30.96682848
62,0,0
63,0,-96.73046252
64,1,-200
65,1,-200
66,1,-48.0861244
67,1,-16.62679426
68,0,-48.0861244
69,0,-77.67145136
70,0,88.75404531
71,0,-94.41786284
72,1,31.63430421
73,0,43.08252427
74,0,15.51375405
75,0,-93.70015949
76,1,21.60194175
77,1,-85.16746411
78,0,48.46278317
79,0,-74.16267943
80,1,-200
81,0,37.68203883
82,0,-80.62200957
83,0,9.607605178
84,0,58.45469256
85,1,58.21197411
86,0,-99.60127592
87,0,25.7079288
88,1,-84.29027113
89,0,59.83009709
90,0,-16.62679426
91,1,-48.0861244
92,1,-75.15948963
93,0,-76.79425837
94,0,3.357605178
95,1,-48.0861244
96,1,-48.0861244
97,0,-68.97926635
98,1,-48.0861244
99,0,-48.0861244
100,1,56.06796117
101,0,-200
102,0,31.47249191
103,1,0.242718447
104,0,70.38834951
105,0,-89.71291866
106,0,90.65533981
107,1,-98.80382775
108,0,-16.62679426
109,1,48.74595469
110,0,-72.64752791
111,0,45.91423948
112,0,-16.62679426
113,0,-92.26475279
114,1,72.61326861
115,0,-89.15470494
116,1,-94.49760766
117,0,-77.67145136
118,1,31.9579288
119,0,51.37540453
120,0,-78.62838915
121,1,4.368932039
122,1,-48.0861244
123,0,-200
124,0,-200
125,0,-67.10526316
126,1,-99.20255183
127,0,-91.22807018
128,1,9.607605178
129,0,-72.56778309
130,1,0
131,1,-62.9984051
132,1,14.17880259
133,0,-98.0861244
134,1,-90.82934609
135,0,2.973300971
136,1,56.39158576
137,0,-90.90909091
138,1,30.96682848
139,0,36.24595469
140,0,-99.36204147
141,0,32.16019417
142,1,60.27508091
143,0,-99.92025518
144,1,-87.9585327
145,0,-81.738437
146,0,92.27346278
147,1,31.7961165
148,0,9.607605178
149,1,1.537216828
150,1,-91.70653907
151,0,0
152,0,2.973300971
153,0,15.14967638
154,1,-95.53429027
155,1,-16.62679426
156,0,0
157,0,-200
158,1,-16.62679426
159,1,0.242718447
160,0,-200
161,1,-48.0861244
162,0,0
163,0,-16.62679426
164,0,-16.62679426
165,0,15.14967638
166,0,0
167,1,-48.0861244
168,0,-200
169,0,-200
170,1,-48.0861244
171,1,-48.0861244
172,1,-200
173,0,85.80097087
174,0,-16.62679426
175,0,-200
176,1,-200
177,1,79.28802589
178,0,-200
179,1,-79.98405104
180,1,-91.50717703
181,1,-82.85486443
182,0,-48.0861244
183,1,-16.62679426
184,0,-48.0861244
185,0,43.46682848
186,1,-83.09409888
187,0,65.61488673
188,1,50.97087379
189,0,-48.0861244
190,0,81.55339806
191,0,-77.67145136
192,1,-71.09250399
193,0,-16.62679426
194,0,-200
195,1,-16.62679426
196,0,-16.62679426
197,1,14.78559871
198,1,31.27022654
199,1,0.242718447
200,1,68.60841424
201,1,-200
202,1,-200
203,0,-76.03668262
204,1,-67.10526316
205,0,-78.62838915
206,0,-48.0861244
207,0,49.1302589
208,0,-94.89633174
209,0,-88.39712919
210,0,-16.62679426
211,1,4.368932039
212,0,23.68527508
213,1,-92.7830941
214,0,3.478964401
215,1,-93.22169059
216,0,-16.62679426
217,1,25.48543689
218,1,-79.98405104
219,0,20.99514563
220,1,-16.62679426
221,0,0.525889968
222,0,-84.37001595
223,0,-65.23125997
224,1,-68.97926635
225,0,26.75970874
226,1,-87.71929825
227,0,37.68203883
228,0,-91.38755981
229,1,52.14401294
